T,TM,Tm,H,VV,V,VM,PM2.5,nan
22.9,31.4,19.5,80.0,6.9,3.7,11.1,30.33333333333333,nan
22.2,27.7,20.0,85.0,6.3,4.8,7.6,0.0,nan
21.8,25.4,19.5,89.0,5.5,2.8,5.4,0.0,nan
21.7,25.4,19.1,84.0,5.5,3.3,5.4,0.0,nan
22.9,27.4,19.8,87.0,6.6,4.1,5.4,92.25,nan
23.2,27.5,20.5,87.0,6.9,3.0,5.4,83.45833333333333,nan
23.0,27.5,20.6,84.0,4.8,4.4,5.4,71.66666666666667,nan
23.2,28.8,20.5,81.0,6.3,7.6,11.1,69.70833333333333,nan
22.1,28.4,20.6,85.0,6.9,8.0,18.3,62.375,nan
23.1,27.9,20.2,80.0,6.9,5.9,11.1,24.875,nan
23.8,28.3,19.4,73.0,7.7,3.9,5.4,43.958333333333336,nan
24.7,30.4,19.5,68.0,9.2,5.0,7.6,41.5,nan
24.9,30.8,20.0,64.0,7.7,4.4,7.6,38.79166666666666,nan
23.8,29.5,19.6,73.0,6.9,5.0,7.6,31.65217391304348,nan
24.2,29.5,21.1,73.0,6.9,6.3,11.1,26.666666666666668,nan
23.6,28.9,20.3,72.0,6.3,4.8,7.6,29.0,nan
24.8,30.0,20.2,73.0,7.7,4.1,5.4,61.708333333333336,nan
23.9,30.0,21.1,81.0,6.3,3.1,5.4,63.17391304347826,nan
23.2,28.4,19.2,80.0,6.3,3.7,9.4,41.583333333333336,nan
23.9,28.9,20.0,71.0,6.9,6.7,7.6,80.04166666666667,nan
24.9,30.8,20.6,70.0,6.9,4.8,7.6,82.83333333333333,nan
24.1,30.8,21.6,79.0,6.3,3.3,5.4,95.25,nan
24.4,30.5,20.3,72.0,6.9,1.5,7.6,126.16666666666669,nan
21.9,30.4,20.1,81.0,6.3,0.9,5.4,136.70833333333334,nan
21.5,27.2,19.5,85.0,6.9,2.6,7.6,160.66666666666666,nan
23.2,27.0,20.7,81.0,6.3,3.3,5.4,245.66666666666663,nan
23.4,29.4,20.7,78.0,6.9,4.3,5.4,261.6666666666667,nan
23.3,29.4,19.8,80.0,5.5,3.5,5.4,272.4166666666667,nan
23.4,28.7,18.6,71.0,6.3,1.3,5.4,149.625,nan
24.2,29.6,19.6,73.0,6.9,2.2,5.4,99.70833333333331,nan
23.3,29.6,19.9,80.0,5.8,3.9,7.6,217.375,nan
22.9,29.0,20.0,78.0,6.0,4.3,7.6,337.5,nan
23.3,29.0,19.0,69.0,6.3,2.8,5.4,321.5416666666667,nan
22.2,29.0,18.4,69.0,6.9,1.5,5.4,278.0,nan
22.2,28.2,17.3,68.0,6.9,2.2,5.4,192.33333333333331,nan
22.0,28.0,17.8,67.0,5.5,1.1,3.5,214.63636363636363,nan
21.4,28.0,15.6,63.0,6.3,1.1,3.5,221.54166666666663,nan
22.4,29.0,16.8,74.0,6.3,1.9,3.5,166.70833333333334,nan
22.3,29.0,18.2,68.0,6.3,1.3,3.5,130.70833333333334,nan
22.7,30.0,16.5,65.0,6.9,1.1,3.5,194.70833333333331,nan
22.5,28.5,19.8,80.0,6.3,2.0,5.4,134.45833333333334,nan
23.1,29.2,19.2,74.0,6.9,1.1,5.4,110.0,nan
22.7,29.2,18.8,67.0,6.9,0.4,3.5,160.0,nan
23.1,29.9,20.0,76.0,6.9,3.1,5.4,118.91666666666669,nan
22.5,28.3,19.4,74.0,7.7,2.4,5.4,176.375,nan
21.9,28.0,18.4,67.0,6.9,3.1,5.4,185.95833333333331,nan
